judul,tanggal,isi,kategori
"Badan Kurus Tak Berarti Bebas dari Kolesterol Tinggi, Dokter Ungkap Faktanya","Kamis, 05 Sep 2024 11:03 WIB","Jakarta - Tak sedikit yang beranggapan bahwa orang berbadan kurus bisa 'bebas' dari risiko kolesterol tinggi dibandingkan orang berbadan gemuk yang sudah pasti punya kolesterol tinggi. Sebenarnya apakah anggapan hal tersebut benar adanya?Spesialis penyakit dalam dr Aru Ariadno, SpPD-KGEH menjelaskan bahwa pernyataan tersebut tidak sepenuhnya tepat. Ia mengatakan sebenarnya ada banyak faktor yang bisa membuat kadar kolesterol tubuh seseorang naik.Selain pola makan buruk dan kurangnya olahraga yang memang menjadi faktor utama kolesterol tinggi, faktor lain seperti genetik seseorang juga bisa berpengaruh.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

""Karena kolesterol ada juga hubungannya dengan genetik, orang kurus pun bisa mengalami gangguan kolesterol,"" kata dr Aru ketika dihubungi oleh detikcom, Rabu (4/9/2024).Sedangkan pada orang yang memiliki badan gemuk atau obesitas, mereka memang lebih rentan terhadap masalah kolesterol tinggi. Tidak hanya hipertensi, masalah obesitas juga bisa berdampak pada kesehatan manusia secara umum jika tidak ditangani dengan baik. Baca juga: Sederet Gejala Kolesterol Tinggi yang Bisa Muncul pada PriaSelain itu, berat badan berlebih kerap dikaitkan pola makan tinggi lemak dan kurangnya aktivitas fisik yang mana semakin memperbesar risiko tingginya kolesterol dalam darah.""Ketika seseorang mengalami obese, itu bisa menyebabkan sindrom metabolik termasuk diabetes, kolesterol tinggi, dan hipertensi,"" ujarnya.dr Aru kembali mengingatkan bahwa kolesterol tinggi paling banyak diakibatkan oleh pola makan buruk dan jarang berolahraga. Hal ini dapat berpengaruh pada semua orang, tidak melihat orang tersebut memiliki badan kurus atau gemuk.Menurutnya, pola hidup yang sehat masih menjadi kunci utama pengelolaan kadar kolesterol dalam tubuh. Jangan lupa juga untuk menjaga tingkat stres dan berhenti merokok untuk membantu mencegah masalah kolesterol timbul.Baca juga: Sering Sakit di Bagian Belakang Kepala? Bisa Jadi Tanda Kolesterol Tinggi











                Dokter Spesialis Saraf: 90% Stroke Bisa Dicegah             






















                            Dokter Spesialis Saraf: 90% Stroke Bisa Dicegah                         








(avk/suc)


kolesterol tinggi badan kurus gaya hidup sehat sindrom metabolik",Kesehatan
Budaya Kerja Toksik di Jepang Picu 54 Karyawan Tewas Kelelahan,"Kamis, 05 Sep 2024 10:38 WIB","Jakarta -
        
        Istilah 'bekerja sampai mati' nampaknya sudah begitu melekat di Jepang. Namun, di tengah krisis populasi, pemerintah ingin melakukan reformasi sistem bekerja di Negeri Sakura dengan mengeluarkan kebijakan kerja maksimal empat hari dalam sepekan.Budaya 'karoshi' di Jepang adalah alasan di balik banyaknya kematian karena terlalu banyak bekerja. Selain jam kerja terlalu panjang, karyawan Jepang kebanyakan memiliki ikatan terlalu besar dengan pekerjaan mereka, sehingga rela sering lembur.Sekitar 85 persen pengusaha melaporkan memberi pekerja mereka dua hari libur seminggu dan ada pembatasan hukum mengenai jam lembur, yang dinegosiasikan dengan serikat pekerja dan dirinci dalam kontrak. Namun, beberapa warga Jepang melakukan kerja lembur yang tidak dilaporkan dan dilakukan tanpa kompensasi.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Jepang memiliki setidaknya 54 kematian akibat terlalu banyak bekerja setiap tahun, termasuk karena serangan jantung. Angkanya bahkan lebih tinggi di periode sebelum 2021, yakni di atas 100 kematian.Pemerintah Jepang kemudian pertama kali menyatakan dukungan untuk masa kerja lebih pendek dalam sepekan sejak 2021, setelah anggota parlemen mendukung gagasan tersebut. Namun, konsep tersebut lambat diterima. Sekitar 8 persen perusahaan di Jepang mengizinkan karyawannya untuk mengambil cuti tiga hari atau lebih per minggu, sementara 7 persen memberikan pekerja mereka satu hari libur yang diamanatkan secara hukum, menurut Kementerian Kesehatan, Tenaga Kerja, dan Kesejahteraan.Baca juga: Demi Kesehatan Mental, Jepang Bujuk Warganya Biar Mau Kerja 4 Hari SemingguReformasi Budaya KerjaPemerintah meluncurkan kampanye reformasi budaya kerja yang mempromosikan jam kerja lebih pendek dan pengaturan fleksibel lain beserta batasan lembur dan cuti tahunan berbayar. Kementerian ketenagakerjaan juga baru-baru ini mulai menawarkan konsultasi gratis, hibah, dan kumpulan kisah sukses yang terus bertambah sebagai motivasi lebih lanjut.""Dengan mewujudkan masyarakat tempat para pekerja dapat memilih dari berbagai gaya kerja berdasarkan keadaan mereka, kami bertujuan untuk menciptakan siklus pertumbuhan dan distribusi yang baik dan memungkinkan setiap pekerja memiliki pandangan yang lebih baik untuk masa depan,"" demikian pernyataan situs web kementerian tentang kampanye hatarakikata kaikaku, yang berarti berinovasi dalam cara bekerja.Departemen yang mengawasi layanan dukungan baru untuk bisnis mengatakan sejauh ini hanya tiga perusahaan yang mengajukan diri untuk meminta saran tentang cara membuat perubahan, peraturan yang relevan, dan subsidi yang tersedia.Contohnya, dari 63.000 karyawan Panasonic Holdings Corp, yang memenuhi syarat untuk jadwal empat hari di produsen elektronik dan perusahaan grupnya di Jepang, hanya 150 karyawan yang memilih untuk mengambilnya, menurut Yohei Mori, yang mengawasi inisiatif tersebut di satu perusahaan Panasonic.Dukungan resmi pemerintah terhadap 'work life balance' atau keseimbangan kehidupan kerja yang lebih baik merupakan perubahan nyata di Jepang, negara yang terkenal dengan budaya 'gila kerja' yang konon menjadi penyebab pemulihan nasional dan pertumbuhan ekonomi luar biasa setelah Perang Dunia II.Tekanan konformis untuk berkorban demi perusahaan sangat kuat. Warga negara biasanya mengambil liburan pada waktu yang sama setiap tahun dengan rekan kerja mereka selama liburan Bon di musim panas dan sekitar Tahun Baru, sehingga rekan kerja tidak dapat menuduh mereka lalai atau tidak peduli.Tim Craig, penulis buku berjudul 'Cool Japan: Studi Kasus dari Industri Budaya dan Kreatif Jepang' memberikan pendapatnya.""Pekerjaan adalah hal yang penting di sini. Ini bukan hanya cara untuk menghasilkan uang, meskipun memang seperti itu,"" kata Craig, yang sebelumnya mengajar di Sekolah Bisnis Doshisha dan mendirikan firma penyuntingan dan penerjemahan BlueSky Academic Services.""Pandangan di Jepang adalah, kamu keren jika bekerja lebih lama, meski lembur gratis.""Baca juga: Paus Puji Warga RI Masih Mau Punya Anak, Bisa Jadi Contoh Negara LainNEXT: Manfaat Libur Tiga Hari untuk Warga Jepang



Halaman

                    1                

                    2                


                Selanjutnya 





jepang tewas meninggal dunia meninggal",Kesehatan
Menyoal Serangan Jantung yang Dialami Faisal Basri Sebelum Meninggal Dunia,"Kamis, 05 Sep 2024 10:03 WIB","Jakarta - Faisal Basri meninggal dunia. Ekonom Universitas Indonesia (UI) itu mengembuskan napas terakhirnya pagi ini, Kamis (5/9/2024) akibat serangan jantung.""Kira-kira hari Senin (2/9) itu Pak Faisal itu dapat serangan jantung, informasi dari keluarga. Jadi dirawat, belum berhasil ditangani,"" ujar Rektor Universitas Paramadina, Didik J Rachbini, saat dihubungi detikNews, Kamis (5/9).Didik menyebut Faisal Basri sempat melakukan perawatan di RS Mayapada, Kuningan, Jakarta Selatan. Kurang lebih dirawat selama tiga hari. Rencananya, almarhum akan dimakamkan hari ini.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

""Iya tiga hari kira-kira di rumah sakit. Kemungkinan besar pagi ini dibawa ke rumah duka. Habis Asar dikebumikan,"" tuturnya.Terlepas dari kasus terkait, serangan jantung umumnya terjadi saat aliran darah ke jantung berkurang atau tersumbat. Penyumbatan bisa disebabkan beberapa faktor termasuk penumpukan lemak, kolesterol, dan zat lain di arteri jantung (koroner). Endapan lemak yang mengandung kolesterol disebut plak. Proses penumpukan plak disebut aterosklerosis. Terkadang, plak bisa pecah dan membentuk gumpalan yang menghalangi aliran darah. Kurangnya aliran darah dapat merusak atau menghancurkan sebagian otot jantung.Jika plak pecah, gumpalan darah dapat terbentuk. Gumpalan tersebut dapat menyumbat arteri, yang menyebabkan serangan jantung. Selama serangan jantung, kurangnya aliran darah bisa memicu jaringan di otot jantung mati.Serangan jantung juga disebut infark miokard. Dalam kasus ini, pasien perlu mendapatkan perawatan sesegera mungkin agar peluang kesembuhan atau keselamatan masih relatif tinggi.Gejala serangan jantung bervariasi, ada orang yang hanya mengeluhkan gejala ringan, adapula mereka yang mengalami gejala berat. Namun, adapula yang tidak mengeluhkan gejala.Baca juga: Ekonom Faisal Basri Meninggal Dunia Akibat Serangan JantungHal-hal yang perlu diwaspadai meliputi:Nyeri dada yang mungkin terasa seperti tekanan, sesak, nyeri, terjepit, atau sakitNyeri atau ketidaknyamanan yang menyebar ke bahu, lengan, punggung, leher, rahang, gigi, atau terkadang perut bagian atasKeringat dinginKelelahanMulas atau gangguan pencernaanPusing atau pening tiba-tibaMualSesak napasWanita mungkin mengalami gejala atipikal seperti nyeri singkat atau tajam yang terasa di leher, lengan, atau punggung. Terkadang, tanda gejala pertama serangan jantung adalah henti jantung mendadak.Sebagian serangan jantung menyerang secara tiba-tiba. Namun, banyak orang mengalami tanda dan gejala peringatan beberapa jam, hari, atau minggu sebelumnya. Nyeri dada atau tekanan (angina) yang terus terjadi dan tidak hilang dengan istirahat mungkin merupakan tanda peringatan dini. Angina disebabkan oleh penurunan sementara aliran darah ke jantung.Baca juga: Sosok Ekonom Faisal Basri Dalam Kenangan Susi Pudjiastuti











                Kenali Gejala dan Penyebab Serangan Jantung             






















                            Kenali Gejala dan Penyebab Serangan Jantung                         








(naf/kna)


serangan jantung faisal basri kesehatan jantung gejala serangan jantung faisal basri meninggal dunia ekonom indonesia",Kesehatan
Nyeri Kronis yang Bikin Paus Fransiskus Tak Bisa Lama-lama Tanpa Kursi Roda,"Kamis, 05 Sep 2024 09:37 WIB","Jakarta - Pemimpin tertinggi Gereja Katolik sedunia, Paus Fransiskus melakukan kunjungan apostolik di Indonesia pada 3-6 September. Kunjungan ke Indonesia dan beberapa negara di Asia ini disebut menjadi perjalanan terpanjang untuknya.Usia dan riwayat kesehatan seperti bukan penghalang bagi dirinya tetap aktif berkegiatan. Sejak 2022 ia juga harus menggunakan kursi roda akibat masalah lutut yang diidapnya.Selama perjalanan apostolik ini, pihak Vatikan mengatakan Paus Franciskus membawa serta dokter pribadi dan dua orang perawat.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Masalah kesehatan juga sempat membuat Paus Fransiskus absen di beberapa agenda besar. Diberitakan Reuters, Paus telah lama menderita linu panggul, kondisi saraf kronis yang menyebabkan nyeri punggung, pinggul, dan kaki.Baca juga: Riwayat Kesehatan Paus Fransiskus, Aktif di Usia Lanjut Meski Paru-paru Tak UtuhPenyakit yang kambuh menyebabkan Paus tidak menghadiri kebaktian Malam Tahun Baru dan Tahun Baru pada bulan Desember 2020, pertama kalinya masalah kesehatan menyebabkannya tidak menghadiri acara keagamaan besar. Ia juga mengalami masalah lutut yang menyakitkan, tetapi mengatakan kepada Reuters Juli lalu bahwa ia memilih untuk tidak menjalani operasi karena ia tidak ingin efek samping negatif jangka panjang dari anestesi yang dideritanya dari operasi usus besar tahun 2021 terulang. Sebagai gantinya, ia berupaya mengatasi masalah tersebut dengan terapi laser dan magnet.Pada tahun 2022, ia terpaksa membatalkan perjalanan ke Lebanon, Republik Demokratik Kongo, dan Sudan Selatan karena masalah berjalannya. Ia menjadwalkan ulang perjalanan ke Afrika dan pergi ke kedua negara tersebut awal tahun 2023.""Saya akan mencoba untuk terus melakukan perjalanan dan dekat dengan masyarakat karena menurut saya itu adalah salah satu cara mengabdi, menjadi dekat,"" kata dia kala itu.Baca juga: Paus Puji Warga RI Masih Mau Punya Anak, Bisa Jadi Contoh Negara Lain











                Tingkat Fatalitas Mpox Clade IIb yang Ada di Indonesia            






















                            Tingkat Fatalitas Mpox Clade IIb yang Ada di Indonesia                        








(kna/up)


paus fransiskus kunjungan apostolik kesehatan paus fransiskus",Kesehatan
"Perundungan PPDS Tak Cuma Terjadi di Undip, Begini Kata Kemenkes","Kamis, 05 Sep 2024 08:35 WIB","Jakarta - Aksi bullying atau perundungan di masa Program Pendidikan Dokter Spesialis (PPDS) sampai saat ini masih disorot. Kementerian Kesehatan RI menyebut jumlah laporan dugaan bullying di PPDS yang diterima 1.540 sampai awal Agustus 2024.Setelah ditelusuri lebih lanjut, sekitar 25 hingga 30 persen dari laporan yang diterima ada indikasi kuat dugaan bullying yang terjadi.""Ini terjadi di RS pendidikan dan tidak hanya di RS milik Kemenkes, tapi ada juga di RSUD milik pemda dan RS milik universitas juga,"" ucap Direktur Jenderal Pelayanan Kesehatan Kemenkes RI Azhar Jaya saat dihubungi detikcom, Kamis (5/9/2024).


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Dihubungi terpisah, Plt Kepala Biro Komunikasi dan Pelayanan Publik Kementerian Kesehatan RI dr Siti Nadia Tarmizi juga menyebut kasus dugaan bullying PPDS terjadi di beberapa RS vertikal Kemenkes atau di bawah naungan Kemenkes.Baca juga: Keluarga dr ARL Polisikan Senior PPDS Undip soal Intimidasi-Pemerasan""RS M Djamil, RS Moh Hoesin, RS Adam Malik, RS Wahidin, RS Kandou, RS Ngoerah, RSCM, RS Harkit,"" katanya saat dihubungi detikcom, Kamis (5/9). dr Nadia mengatakan hampir semua RS vertikal yang menjadi wahana pendidikan ada indikasi dugaan bullying. Beberapa laporan yang termasuk indikasi bullying, kata dr Nadia, sudah diberikan sanksi.""Di RS kemenkes yang paling tinggi dalam 6 bulan terakhir adalah RS Kandou Manado, RS Pemda yg tertinggi RS Zainoel Abidin Aceh, untuk RS milik universitas yang tertinggi RS Undip juga. Saya sudah kirim teguran,"" kata Azhar.Adapun kasus perundungan di PPDS ini mencuat setelah dr ARL, seorang mahasiswi PPDS Undip ditemukan meninggal di kamar kos. Ia meninggal setelah menyuntikkan obat diduga dipicu bullying para seniornya.Baca juga: Keluarga dr ARL Polisikan Senior PPDS Undip soal Intimidasi-Pemerasan











                Kemenkes Telah Panggil Perundung Peserta PPDS 'Makan Nasi Padang'            






















                            Kemenkes Telah Panggil Perundung Peserta PPDS 'Makan Nasi Padang'                        








(suc/up)


perundungan bullying ppds kemenkes kesehatan",Kesehatan
"Dokter Ungkap 'Biang Kerok' Kolesterol Tinggi di Usia Muda, Ternyata gegara Ini","Kamis, 05 Sep 2024 08:01 WIB","Jakarta - Masalah kolesterol tinggi bisa terjadi pada siapa saja, termasuk anak muda. Apabila tidak dikontrol dengan baik, masalah kolesterol dapat memicu penyempitan pembuluh darah dan meningkatkan berbagai risiko masalah kesehatan seperti penyakit jantung hingga stroke.Sebenarnya apa sih yang menjadi pemicu masalah kolesterol tinggi pada anak muda? Spesialis penyakit dalam dr Aru Ariadno, SpPD-KGEH mengatakan bahwa pergeseran gaya hidup yang lebih modern menjadi salah satu faktor orang mengalami masalah kolesterol tinggi.Pergeseran ini membuat anak muda kurang makan sehat, hingga jarang berolahraga karena padatnya pekerjaan yang harus dilakukan.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

""Pemicu kolesterol tinggi itu banyak ya. Bisa karena genetik atau keturunan, kegemukan, pola makan yang tidak baik, hingga kurang olahraga,"" kata dr Aru ketika dihubungi oleh detikcom, Rabu (4/9/2024).Beberapa jenis makanan seperti junk food, jeroan, dan daging merah menjadi salah satu pemicu meningkatnya kolesterol dalam darah. Oleh karena itu, apabila ingin mengonsumsi beberapa jenis makanan tersebut, sebaiknya tetap memperhatikan porsinya. Baca juga: Sederet Gejala Kolesterol Tinggi yang Bisa Muncul pada PriaSeringkali, anak muda mengonsumsi makanan-makanan pemicu kolesterol naik tanpa memperhatikan porsi serta tidak diimbangi dengan olahraga yang baik.""Itu biasanya dikonsumsi oleh anak muda apalagi yang kerja di kantoran dengan waktu kerja yang ketat,"" sambungnya.dr Aru menuturkan ciri-ciri kolesterol tinggi seringkali tidak menampakan tanda yang jelas. Munculnya gangguan pada kesehatan baru akan muncul setelah masalah kolesterol tinggi tidak dikelola dengan baik dalam jangka waktu tertentu.Oleh karena itu, dr Aru mengimbau anak muda untuk rutin memeriksakan kondisi kesehatan, khususnya terkait kolesterol dalam tubuh. Hal ini penting untuk mengelola kolesterol dengan baik supaya tidak berdampak pada masalah kesehatan yang lebih parah lagi.""Kalo gangguan yang sering terjadi adalah terbentuknya plak di pembuluh darah. Tetapi prosesnya lama. Ciri-ciri kolesterol tinggi kadang tidak jelas. Banyak orang apalagi anak muda mengidap kolesterol tinggi tapi tanpa bergejala. Biasanya ketahuan saat medical check up,"" tandasnya.Baca juga: Sering Sakit di Bagian Belakang Kepala? Bisa Jadi Tanda Kolesterol Tinggi











                Dokter Spesialis Saraf: 90% Stroke Bisa Dicegah             






















                            Dokter Spesialis Saraf: 90% Stroke Bisa Dicegah                         








(avk/suc)


kolesterol tinggi gaya hidup sehat anak muda gejala kolesterol tinggi kolesterol tinggi pada anak muda",Kesehatan
"Update Kasus Mpox di RI, Kemenkes Temukan Suspek Baru di Jakarta dan Bali","Kamis, 05 Sep 2024 07:36 WIB","Jakarta -
        
        Kementerian Kesehatan RI melaporkan perkembangan terbaru terkait kasus mpox atau cacar monyet di Indonesia. Pihaknya menyebut sempat menerima sejumlah kasus suspek mpox di Jakarta dan Bali.""Kemarin sempat ada lima suspek, terus beberapa hari yang lalu itu sempat ada 10 suspek dan kemarin ada dari Bandara Soekarno-Hatta itu dikatakan ada tiga suspek, ya,"" beber Kepala Biro Komunikasi Kemenkes dr Siti Nadia Tarmizi kepada wartawan di Gedung Nusantara I DPR RI Jakarta, Selasa (3/9/2024).Dia menambahkan sampai saat ini ada tujuh sampel yang masih dalam pemeriksaan dengan selebihnya sudah dinyatakan negatif.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

Lebih lanjut, dr Nadia mengatakan belum ada penambahan kasus cacar monyet di Tanah Air. Sejauh ini ada total 88 pasien positif mpox di Indonesia.""Jumlah kasus Mpox Indonesia masih belum bertambah dan Clade 1B, seperti yang di Kongo itu belum kita temukan sampai saat ini,"" tegas dr Nadia. Next: Situasi Mpox di IndonesiaBaca juga: Kata WHO soal RI Bisa Jadi Sudah Kemasukan Varian 'Ganas' Mpox



Halaman

                    1                

                    2                


                Selanjutnya 





mpox cacar monyet kemenkes kasus mpox indonesia",Kesehatan
"5 Olahraga yang Efektif Bakar Kalori, Bantu Enyahkan Perut Buncit Lebih Cepat","Kamis, 05 Sep 2024 07:16 WIB","Jakarta -
        
        Olahraga rutin merupakan salah satu kunci utama dalam proses penurunan berat badan. Ketika asupan kalori harus dibatasi, olahraga dapat membantu meningkatkan efektivitas penurunan berat badan dan membantu meningkatkan kesehatan organ secara keseluruhan.Sebenarnya ada nggak sih olahraga tertentu yang dapat membantu membakar kalori secara efektif? Pelatih kebugaran Sam Quinn di Inggris menyarankan defisit kalori yang bisa dilakukan selama proses penurunan berat badan adalah sebanyak 500 kalori.Berikut ini adalah beberapa olahraga yang efektif membantu pembakaran kalori:


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

1. Jalan Kaki atau JoggingQuinn mengatakan jalan kaki merupakan aktivitas fisik yang efektif untuk membakar kalori. Selain itu, jalan kaki juga salah satu olahraga yang murah dan mudah untuk dilakukan.""Berjalan kaki itu gratis, sederhana, dan efektif. Tidak boleh diremehkan saat mencoba membakar kalori. Bisa setidaknya 3.500 langkah sehari,"" kata Quinn dikutip dari NY Post, Selasa (3/9/2024). Ia menuturkan bahwa jalan kaki merupakan salah satu bentuk olahraga dengan impact rendah. Untuk orang yang memiliki berat badan berlebih, jalan kaki sangat disarankan karena lebih aman dilakukan dibandingkan dengan berlari.Namun, apabila sudah terbiasa dengan lari atau jogging, Quinn menuturkan bahwa itu bisa memberikan manfaat yang lebih lagi untuk kesehatan.""Ini dapat mengubah kekuatan, tingkat kebugaran, kesehatan mental, dan komposisi tubuh. Ini adalah bentuk latihan yang paling bagus untuk membakar kalori,"" sambung Quinn soal olahraga jogging.2. RenangUntuk yang tidak terlalu suka jalan kaki atau jogging, berenang bisa menjadi alternatif. Quinn menuturkan bahwa olahraga renang juga baik dalam proses pembakaran kalori.Quinn menyarankan untuk berenang sebanyak 35 putaran di kolam renang sepanjang 50 meter. Selain baik untuk proses penurunan berat badan, berenang juga relatif lebih aman untuk sendi.""Ini akan membantu Anda menurunkan berat badan dengan latihan seluruh tubuh. Sekaligus melindungi sendi sakit yang mungkin tidak menahan efek dari berlari,"" katanya.3. BersepedaQuinn menuturkan bahwa bersepeda merupakan salah satu jenis latihan dengan dampak rendah yang bisa juga dicoba. Selain baik untuk membantu membakar kalori, rutin bersepeda juga ikut melatih otot kaki, meliputi paha depan, hamstring, dan betis.Bersepeda di luar ruangan juga dapat membantu meningkatkan suasana hati yang lebih baik. Apabila memungkinkan, pilihlah rute yang tidak terlalu banyak polusi dan memiliki banyak pohon.Baca juga: 5 Cara Menurunkan Kolesterol Secara Alami, Salah Satunya Kurangi Makan Ini



Halaman

                    1                

                    2                


                Selanjutnya 





olahraga perut buncit penurunan berat badan bakar kalori",Kesehatan
"RS Medistra Bantah Larangan Hijab, Beberkan Bukti Tak Ada Diskriminasi","Kamis, 05 Sep 2024 06:25 WIB","Jakarta -
        
        Direktur RS Medistra Jakarta, dr Agung Budisatria, menjelaskan duduk perkara awal mula gaduh pihaknya disebut melarang pegawai memakai jilbab. Ia menekankan hal itu hanya berawal dari kesalahpahaman.dr Agung menyesalkan kabar tersebut diunggah begitu saja di media sosial X (Twitter) tanpa terlebih dahulu mengonfirmasi ke pihak RS.""Isu terkait ini diawali dari postingan dari salah satu dokter spesialis yang langsung diposting ke sosial media tanpa klarifikasi ke kami, kami dari pihak manajemen sudah berusaha untuk menghubungi beliau, tetapi masih belum ada kesempatan,"" beber dr Agung dalam konferensi pers Rabu (4/9/2024).


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

""Jadi isu itu yang melebar dan kami sudah mengupayakan untuk melakukan konsolidasi internal juga ke luar,"" lanjutnya.Baca juga: RS Medistra Bantah Larang Nakes Pakai Hijab: 30 Persen Pegawai Kami BerjilbabBeberkan Bukti Tak Ada DiskriminasiManajer Sumber Daya Manusia (SDM) RS Medistra Jakarta, Markus Triyono mengungkap sederet bukti tidak ada aksi SARA atau diskriminasi agama di lingkup RS. Salah satunya, 30 persen dari pegawai termasuk tenaga kesehatan dan dokter di sana berjilbab. ""Karyawan kami yang menggunakan hijab kurang lebih 30 persenan saat ini, dari sekitar 780,"" ungkap Markus dalam kesempatan yang sama.Markus menyebut pihak RS juga selama ini menyediakan fasilitas ibadah bagi umat muslim termasuk masjid dan mushola.""Kami juga menyediakan sarana ibadah, kami memiliki masjid dan mushola dan selalu dipergunakan oleh karyawan untuk salat, siraman rohani dan kegiatan lainnya,"" beber Markus.Baca juga: Gaduh Larangan Hijab di RS Medistra, Asosiasi RS Swasta Angkat BicaraNEXT: IDI hingga Asosiasi Rumah Sakit Swasta Angkat Bicara



Halaman

                    1                

                    2                


                Selanjutnya 



Simak Video ""Maaf RS Medistra Gegara Larangan Berjilbab""
[Gambas:Video 20detik]


rs medistra jilbab hijab dokter",Kesehatan
Kata WHO soal RI Bisa Jadi Sudah Kemasukan Varian 'Ganas' Mpox,"Kamis, 05 Sep 2024 06:05 WIB","Jakarta -
        
        Organisasi Kesehatan Dunia (WHO) menjelaskan soal status kedaruratan global Public Health Emergency of International Concern (PHEIC) yang diberikan pada Mpox. Pihaknya menuturkan bahwa status ini tidak bisa disamakan dengan status pandemi.Sebelumnya, status PHEIC juga diberikan pada COVID-19 ketika pandemi terjadi pada tahun 2020. National Professional Officer (NPO) WHO Indonesia Musthofa Kamal menjelaskan bahwa penetapan status PHEIC pada sebuah penyakit dilakukan melalui pertimbangan kriteria-kriteria tertentu.Sebagai contoh kejadian Mpox yang terjadi saat ini, status PHEIC diberikan karena kemunculan varian baru Clade Ib yang disebut menyebar lebih cepat di Afrika. Selain itu varian ini karakteristiknya juga belum diketahui secara jelas oleh tim medis.


ADVERTISEMENT
















SCROLL TO CONTINUE WITH CONTENT

""Jadi kalau bisa saya garisbawahi ada beberapa pertimbangan untuk menentukan atau mendeklarasikan status PHEIC. Jadi emergency committee akan mempertimbangkan beberapa hal, kemudian rekomendasikan ke dirjen WHO,"" ucap Kamal dalam webinar Badan Riset dan Inovasi Nasional (BRIN), Rabu (4/9/2024).""Ada beberapa rekomendasi misalnya, apakah kejadian itu serius, unusual, atau unexpected. Kemudian ada indikasi di luar batas negara endemis dan apakah memang memerlukan immediate international action, statusnya tidak bisa disamakan dengan pandemi,"" sambungnya. Ia mencontohkan penyakit jenis lain yang juga masuk dalam kategori PHEIC, yaitu polio. Sejak tahun 2014, polio sudah masuk dalam kategori PHEIC dan hingga saat ini statusnya belum dicabut.Meskipun tidak menyebar luas seperti COVID-19 ketika pandemi, penyakit polio masih memerlukan penangan khusus.""Jadi artinya kita bisa menyeimbangkan atensi yang kita berikan terhadap penyakit-penyakit yang ada di Indonesia, baik yang sudah ada, maupun yang berpotensi importasi,"" katanya.Potensi Varian 'Ganas' Sudah Masuk RIKamal menjelaskan potensi Clade Ib sudah masuk Indonesia tanpa terdeteksi tentu saja ada. Namun ia berpendapat bahwa sistem surveilans di Indonesia saat ini berjalan dengan cukup baik sehingga hal tersebut bisa dicegah.""Sejauh ini (di Indonesia) masih belum ada kasus Clade Ib, tetapi potensi tidak terdeteksi tentu saja ada, sama dengan negara lainnya seperti Singapura dan Malaysia. Mereka juga ada potensi tapi sejauh ini belum ada kasus di wilayah mereka juga,"" ujar Kamal.Hingga saat ini kasus Clade Ib di luar Afrika baru ditemukan di Thailand dan Swedia. Kasus tersebut juga berasal dari orang yang memiliki riwayat perjalanan ke negara endemik, seperti DR Kongo dan Burundi.Ia berpendapat, Indonesia merupakan salah satu negara yang paling siap dalam menghadapi potensi penyebaran kasus Mpox. Belum lama ini, Kementerian Kesehatan (Kemenkes) RI juga mulai memberlakukan skrining SATUSEHAT Health Pass serta testing untuk pelaku perjalanan dari luar negeri.""Ini kemudian diperkuat tidak hanya di klinik-klinik dan rumah sakit saja, tapi juga di pintu masuk (perbatasan). Termasuk kapasitas testing di Indonesia termasuk yang paling baik yang saya bilang, vaksin tersedia, obat juga,"" tandasnya.NEXT: Temuan Kasus Suspek Mpox Baru di RIBaca juga: Kemenkes Temukan Kasus Baru Suspek 'Cacar Monyet' Mpox, Ada di DKI-Bali



Halaman

                    1                

                    2                


                Selanjutnya 





mpox who pheic kasus mpox indonesia",Kesehatan
